UserID | varchar(128) primary key,FirstName | varchar(128) not null,LastName | varchar(128) not null,Username | varchar(128) unique not null,Password | varchar(128) not null,Email | varchar(128) unique,Age | integer,Gender | varchar(128),Street | varchar(128),City | varchar(128),PostalCode | varchar(128),State | varchar(128),Country | varchar(128),ProfileCreated | date not null,UserNotes | varchar(128),LegacyID | varchar(128),UserIndex | varchar(128)
4788-ygin,Simon,Daniel,simondaniel,ovm0jdf0,simon.daniel@hotmail.com,20,M,58 Crescent Street,Round Lake,60073,Illinois,United States of America,2009-03-26,,20090326-a,135742
6632-ynnt,Teresa,Nichols,teresanichols,oub8g9n2,teresa.nichols@mac.com,21,F,90 Center St,Los Angeles,90110,California,United States of America,2009-09-23,,20090923-a,138556
9903-yvwd,Leigh,Russell,leighrussell,p3o4tq15,leigh.russell@gmail.com,41,F,8081 Ryan Lane,Southaven,38671,Mississippi,United States of America,2010-02-13,,20100213-a,259433
2251-45ab,Pamela,Norton,pamelanorton,mxui8e5v,pamela.norton@yahoo.com,37,F,915 Cooper Court,Apex,27502,Canada,Canada,2010-09-05,,20100905-a,400009
4816-kbwz,Debbie,Lamb,debbielamb,6t50g7q5,debbie.lamb@hotmail.com,49,F,123 Main St,New York,10123-8945,New York,United States of America,2010-11-11,,20101111-a,551345
4205-glgj,Aubrey,Mullins,4051020,2e576k1x,aubrey.mullins@mac.com,22,F,90 Center St,Los Angeles,90110,California,United States of America,2011-01-26,,20110126-a,745010
6236-tyne,Al,Pope,alpope,hfewapym,al.pope@gmail.com,21,M,55 Inverness Street,Panama City,32404-0311,Florida,United States of America,2011-06-08,,20110608-a,976111
0809-azxc,Wendy,Casey,wendycasey,3jjxj03g,wendy.casey@yahoo.com,43,F,Alsina 35 Piso 2,Buenos Aires,10583,Argentina,Argentina,2011-11-07,,20111107-a,1442131
0114-dzcv,Nathan,Duncan,nathanduncan,idaion2s,nathan.duncan@hotmail.com,68,M,58 Crescent Street,Round Lake,60073,Illinois,United States of America,2012-03-02,,20120302-a,1897014
0123-8945,Sherri,Anderson,sherrianderson,5pmljjbe,sherri.anderson@mac.com,17,F,123 Main St,New York,10123-8945,New York,United States of America,2012-03-19,,20120319-a,3313904
0007-abcd,Alex,Bulis,alexbulis,4912zzkk,alex.bulis@gmail.com,49,M,50 Post Rd,Boston,02108-6300,Massachusetts,United States of America,2012-06-13,Use 011-22-3333 for SSN.,20120613-a,5331311
0007-abce,Scooby,Doo,5311240,5aabcdog,scooby.doo@mac.com,12,M,50 Post Rd,Boston,02108-6300,Massachusetts,United States of America,2012-06-13,Reported a certain medical condition that may impact his usage of the service.,20120613-b,6787443
